Cód. UO;Categoria;Descrição categ.;Nome UO;Sigla UO;Data criação;Endereço;Compl. Endereço;Bairro;CEP;Cód. Município;Nome município;UF;DDD;Telefone;Ramal;Fax;e-mail;Porte;CNPJ;Unidade ativa;Situação Unidade;Descrição situação unidade;Horário início atend.;Horário fim atend.
2001030;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MACEIÓ-ARY PITOMBO   ;APSMAC;29/09/2000;PRAÇA DOS PALMARES,232                ;;CENTRO       ;57020150       ;2043;MACEIO             ;AL;82;32168371;;32165162;aps02001030@inss.gov.br;A;29979036074187;1;1;EM FUNCIONAMENTO;700;1700
2001060;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL PALMEIRA DOS ÍNDIOS  ;APSPAL;29/09/2000;RUA PEDRO SOARES MOTA, S/N            ;;SAO CRISTOVAO;57601010       ;2063;PALMEIRA DOS INDIOS;AL;82;34212343;;4214253;aps02001060@inss.gov.br;C;29979036000817;1;1;EM FUNCIONAMENTO;700;1700
2001090;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SANTANA DO IPANEMA   ;APSSAN;29/09/2000;RUA CLEMENCIA PEREIRA DE QUEIROZ, S/Nº;;CENTRO       ;57500000       ;2080;SANTANA DO IPANEMA ;AL;82;36211801;;36211805;aps02001090@inss.gov.br;C;29979036093645;1;1;EM FUNCIONAMENTO;800;1800
2001130;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL PÃO DE AÇÚCAR        ;APSPAC;17/02/2003;TRAVESSA ALAMEDA S/Nº                 ;;CENTRO       ;57400000       ;2064;PAO DE ACUCAR      ;AL;82;36241899;;36241899;aps02001130@inss.gov.br;D;29979036093564;1;1;EM FUNCIONAMENTO;700;1500
2001160;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL VIÇOSA               ;APSVCS;22/06/2004;RUA JOSÉ VILELA, SN                   ;;CENTRO       ;57700000       ;2094;VICOSA             ;AL;82;32831689;;32831689;aps02001160@inss.gov.br;D;29979036105244;1;1;EM FUNCIONAMENTO;700;1700
2001190;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MARIBONDO            ;APSMAR;11/05/2005;RUA JOSE SAPUCAIA  S/Nº               ;LOTE 03             ;CENTRO       ;57670000       ;2048;MARIBONDO          ;AL;82;32701354;;32701354;aps02001190@inss.gov.br;D;29979036120987;1;1;EM FUNCIONAMENTO;700;1500
2001220;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL CAMPO ALEGRE         ;APSCAL;22/03/2010;AV. GOV.DIVALDO SURUAGY S/Nº          ;;CENTRO       ;57250000       ;2014;CAMPO ALEGRE       ;AL;82;32751129;;;aps02001220@inss.gov.br;D;29979036129267;1;1;EM FUNCIONAMENTO;700;1500
2001250;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SAO JOSE DA LAJE     ;APSSJL;29/09/2011;RUA DR. OSCAR GORDILHO S/Nº           ;;CENTRO       ;57860000       ;2083;SAO JOSE DA LAJE   ;AL;82;32851216;;;aps02001250@inss.gov.br;D;29979036140589;1;1;EM FUNCIONAMENTO;730;1330
2001280;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL LIMOEIRO DE ANADIA   ;APSLIA;11/11/2011;RUA 31 DE MAIO S/NR                   ;;CENTRO       ;57260000       ;2042;LIMOEIRO DE ANADIA ;AL;;;;;aps02001280@inss.gov.br;D;29979036141712;1;1;EM FUNCIONAMENTO;730;1330
2001310;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ATALAIA              ;APSATI;05/11/2012;LOT. SANTA INÊS                       ;;JOSE PAULINO ;57690000       ;2004;ATALAIA            ;AL;82;32642433;;;aps02001310@inss.gov.br;D;29979036152323;1;1;EM FUNCIONAMENTO;700;1300
